Task Name,Completed By,Day,Completed,Time,VIP Acct#,Account,Address,City,ST,Zip,Distance,Premise,COT,Chain,On/Off Premise:,Did you speak to the buyer:,Who did you speak with:,CMC Notes:,Buyer Committed (New POD):,Instigated Re-Buy:,SKU #1:,Draft or PKG SKU #1:,QTY of SKU #1:,SKU #2:,Draft or PKG SKU #2:,QTY of SKU #2:,SKU #3:,Draft or PKG SKU #3:,QTY of SKU #3:,SKU #4:,Draft or PKG SKU #4:,QTY of SKU #4:,SKU #5:,Draft or PKG SKU #5:,QTY of SKU #5:,SKU #6:,Draft or PKG SKU #6:,QTY of SKU #6:,Buyer Objection:,Sampled Product:,Staff Education:,Built Display:,Confirmed Display:,Where is the Display:,How Many Cases:,Added POS:,Scheduled a 3rd Party Tasting:,Date of Event/Tasting:,Shelf Optimization:,Cold Space Placement:,Pricing Survey:,Supplier Price:,Competitor #1 Name:,Competitor #1 Price:,Competitor #2 Name:,Competitor #2 Price:,Mispriced Item Correction:,Price Feature Added:,Cold Shelf Photo #1:,Cold Shelf Photo #2:,Competitor Photo #1:,Competitor Photo #2:,Display Photo #1:,Display Photo #2:,Display Photo #3:,Menu Feature Photo #1:,POS Photo #1:,POS Photo #2:,POS Photo #3:,Warm Shelf Photo #1:,Warm Shelf Photo #2:,Other Photo #1:,Other Photo #2:,Other Photo #3:,Removed Damaged/OOC Product:,Executed Event:,Follow up:,Distributor Name:
"City Orchard","John Sikes",Fri,20241122,"11:15 PM",4365166,"MEANWHILE BREWING COMPANY","3901 PROMONTORY POINT DR",AUSTIN,TX,78744,9.5,ON,"TASTING ROOM",INDEPENDENTS,On,YES,Kirby,"Spoke to the bar manager (Kirby) discussed the brand and their holiday programming. The have the Hibiscus available in cans and will be featuring them throughout the Holiday season.",NO,YES,"CITY ORCHARD - FRESCA VAREITY PACK 2/12/12OZ",PKG,10,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"City Orchard","John Sikes",Fri,20241122,"09:02 PM",4584521,"SKINNYS OFF TRACK BAR","1806 E 12TH ST",AUSTIN,TX,78702,0.1,ON,BAR,INDEPENDENTS,On,NO,Marc,"Spoke to the bar manager (Marc) discussed the brand and placement opportunities. They arent ready to bring on new products at this time but the manager and I plan on revisiting the conversation after Thanksgiving. They bring in a large crowd for sporting events and weekly specials.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Jeng,"John Sikes",Fri,20241122,"09:02 PM",4584521,"SKINNYS OFF TRACK BAR","1806 E 12TH ST",AUSTIN,TX,78702,0.1,ON,BAR,INDEPENDENTS,On,NO,Marc,"Spoke to the bar manager (Marc) discussed the brand and placement opportunities. They arent ready to bring on new products at this time but the manager and I plan on revisiting the conversation after Thanksgiving. They bring in a large crowd for sporting events and weekly specials.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Ritual,"John Sikes",Fri,20241122,"09:01 PM",4584521,"SKINNYS OFF TRACK BAR","1806 E 12TH ST",AUSTIN,TX,78702,0.1,ON,BAR,INDEPENDENTS,On,NO,Marc,"Spoke to the bar manager (Marc) discussed the brand and placement opportunities. They arent ready to bring on new products at this time but the manager and I plan on revisiting the conversation after Thanksgiving. They bring in a large crowd for sporting events and weekly specials.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Natterjack,"John Sikes",Fri,20241122,"09:00 PM",4584521,"SKINNYS OFF TRACK BAR","1806 E 12TH ST",AUSTIN,TX,78702,0.1,ON,BAR,INDEPENDENTS,On,YES,Marc,"Spoke to the bar manager (Marc) discussed the brand and the brand has been performing. They have the Blend 1 front and center behind the bar. I talked to the staff about the brand and bullet points to sell to customers. I will be following up with their team next week or after Thanksgiving about promotional opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,YES,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,"Has Picture",,,NO,NO,,
Ritual,"John Sikes",Fri,20241122,"08:57 PM",3773051,"FULL CIRCLE BAR","1810 E 12TH ST",AUSTIN,TX,78702,0.1,ON,BAR,INDEPENDENTS,On,NO,Asa,"Spoke to the bartender (Asa) the owner/buyer (Cooper) was not available. The staff said the best time to catch the owner is on Sunday, Monday or Tuesday for their league nights. I will plan on stopping in next week to discuss their beverage program and placement opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Natterjack,"John Sikes",Fri,20241122,"08:57 PM",3773051,"FULL CIRCLE BAR","1810 E 12TH ST",AUSTIN,TX,78702,0.1,ON,BAR,INDEPENDENTS,On,NO,Asa,"Spoke to the bartender (Asa) the owner/buyer (Cooper) was not available. The staff said the best time to catch the owner is on Sunday, Monday or Tuesday for their league nights. I will plan on stopping in next week to discuss their beverage program and placement opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
Jeng,"John Sikes",Fri,20241122,"08:57 PM",3773051,"FULL CIRCLE BAR","1810 E 12TH ST",AUSTIN,TX,78702,0.1,ON,BAR,INDEPENDENTS,On,NO,Asa,"Spoke to the bartender (Asa) the owner/buyer (Cooper) was not available. The staff said the best time to catch the owner is on Sunday, Monday or Tuesday for their league nights. I will plan on stopping in next week to discuss their beverage program and placement opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,YES,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"City Orchard","John Sikes",Fri,20241122,"08:57 PM",3773051,"FULL CIRCLE BAR","1810 E 12TH ST",AUSTIN,TX,78702,0.1,ON,BAR,INDEPENDENTS,On,NO,Asa,"Spoke to the bartender (Asa) the owner/buyer (Cooper) was not available. The staff said the best time to catch the owner is on Sunday, Monday or Tuesday for their league nights. I will plan on stopping in next week to discuss their beverage program and placement opportunities.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
"City Orchard","John Sikes",Fri,20241122,"08:54 PM",4025476,"THE KING BEE LOUNGE","1906 E 12TH ST",AUSTIN,TX,78702,0.0,ON,BAR,INDEPENDENTS,On,YES,AJ,"Spoke to the bar manager (AJ) discussed the brand and their beverage program. They only have cider in cans but their might be opportunities for menu placements after the Holidays.",NO,NO,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,,,NO,NO,,NO,NO,NO,,,,,,NO,NO,,,,,,,,,,,,,,,,,NO,NO,,
